molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
CHEMBL2031762,0,1,0,0,0,5,0,1,359.470,5.873,694.659,339.120,103.508,252.032,0.000,1231.128,0.000,6.500,0.0280121,0.0000000,0.7997029,42.312,12.195,17.658,9.109,3.213,-4.944,-4.514,-6.701,257.773,-0.418,126.429,-4.122,9.251,1.080,2,0.241,3,88.916,0.000,0.000,59.058,4,0,21,0,21,6,27,0,0.000
CHEMBL2029718,0,0,0,0,1,6,0,0,451.608,9.918,731.187,566.491,87.650,77.046,0.000,1435.838,1.000,7.200,0.0685029,0.0098470,0.8417958,48.191,12.849,21.968,12.315,4.151,-4.798,-5.230,-3.085,789.940,-0.623,745.399,-2.287,8.387,0.223,4,0.526,3,100.000,0.000,33.558,77.824,6,0,22,3,19,12,33,0,0.037
CHEMBL2029719,1,0,0,0,1,7,0,-1,465.634,4.217,872.531,699.438,87.926,85.167,0.000,1586.432,1.000,7.200,0.0112075,0.0082519,0.7539312,53.654,14.735,22.699,12.148,5.070,-7.309,-5.516,-4.545,855.138,-0.890,740.552,-2.168,8.174,0.001,4,0.852,1,96.153,0.000,28.902,76.461,6,1,22,3,19,12,34,1,0.000
CHEMBL2029720,1,0,0,0,1,6,0,-1,437.581,5.016,842.145,638.317,95.099,108.729,0.000,1493.995,2.000,6.700,0.0168397,0.0112513,0.7504885,50.821,14.338,23.027,13.412,4.522,-7.084,-5.098,-4.713,742.867,-0.924,625.224,-2.313,8.228,0.104,4,0.705,1,100.000,0.000,28.036,86.175,6,0,22,3,19,12,32,1,0.000
CHEMBL2029721,0,0,0,0,1,4,0,0,423.554,9.724,695.994,530.866,78.393,86.735,0.000,1332.369,1.000,7.200,0.0709684,0.0103449,0.8413485,45.427,11.949,21.022,11.896,3.573,-4.855,-4.660,-3.138,1172.492,-0.416,927.403,-2.275,8.313,0.154,4,0.332,3,100.000,0.000,23.039,74.052,6,0,22,3,19,12,31,0,0.031
CHEMBL2029722,1,0,0,0,1,5,0,0,437.581,4.125,804.335,647.257,76.443,80.635,0.000,1465.057,1.000,7.200,0.0116120,0.0089515,0.7755877,50.037,13.325,21.518,11.784,4.384,-6.650,-4.944,-4.173,1253.471,-0.585,971.084,-2.164,8.123,-0.055,4,0.615,1,100.000,0.000,21.718,75.627,6,0,22,3,19,12,32,1,0.001
CHEMBL2029723,0,0,0,0,1,5,0,0,437.581,5.397,782.386,644.645,56.853,80.888,0.000,1450.262,1.000,7.200,0.0200879,0.0092026,0.7919690,49.447,12.960,21.408,11.251,4.434,-6.415,-4.944,-3.910,2096.206,-0.342,1541.895,-1.802,8.063,-0.125,4,0.583,1,100.000,0.000,17.001,73.102,6,0,22,3,19,12,32,1,0.003
CHEMBL2029724,0,0,0,0,1,5,0,-1,425.570,8.067,788.602,598.349,96.304,93.949,0.000,1433.376,1.000,7.200,0.0454023,0.0091301,0.7796154,48.896,13.240,21.711,12.531,4.063,-6.119,-4.895,-4.172,707.297,-0.794,607.692,-2.483,8.175,0.025,4,0.530,3,100.000,0.000,29.277,79.359,6,0,19,0,19,9,31,1,0.001
CHEMBL2029725,0,0,0,0,1,4,0,0,423.554,9.450,702.100,557.182,72.776,72.142,0.000,1345.158,1.000,7.200,0.0663814,0.0102549,0.8393597,45.800,11.922,21.035,12.018,3.675,-4.853,-4.660,-3.101,1247.753,-0.366,1058.869,-2.223,8.371,0.221,4,0.366,3,100.000,0.000,26.336,74.063,6,0,22,3,19,12,31,0,0.036
CHEMBL2029726,0,0,0,0,1,4,0,0,423.554,9.724,696.555,531.427,78.393,86.735,0.000,1332.442,1.000,7.200,0.0709671,0.0103366,0.8407019,45.430,11.950,21.020,11.898,3.574,-4.865,-4.660,-3.149,1172.489,-0.417,927.402,-2.275,8.312,0.154,4,0.332,3,100.000,0.000,23.039,74.052,6,0,22,3,19,12,31,0,0.031
